Horas_Estudio,Asistencia,Involucración_Padres,Acceso_Recursos,Actividades_Extraescolares,Horas_Sueño,Puntuación_Anterior,Nivel_Motivación,Acceso_Internet,Tutorías,Ingreso_Familiar,Calidad_Profesorado,Tipo_Centro,Influencia_Compañeros,Actividad_Física,Problemas_Aprendizaje,Nivel_Educación_Padres,Distancia_Vivienda,Género,Puntuación,Niveles_Rendimiento,Niveles_Previos_Rto
23,84,Bajo,Alto,No,7,73,Bajo,Sí,0,Bajo,Medio,Público,Positiva,3,No,Instituto,Cercana,Hombre,67,2,3
19,64,Bajo,Medio,No,8,59,Bajo,Sí,2,Medio,Medio,Público,Negativa,4,No,Universidad,Moderada,Mujer,61,1,1
24,98,Medio,Medio,Sí,7,91,Medio,Sí,2,Medio,Medio,Público,Neutral,4,No,Postgrado,Cercana,Hombre,74,3,5
29,89,Bajo,Medio,Sí,8,98,Medio,Sí,1,Medio,Medio,Público,Negativa,4,No,Instituto,Moderada,Hombre,71,2,5
19,92,Medio,Medio,Sí,6,65,Medio,Sí,3,Medio,Alto,Público,Neutral,4,No,Universidad,Cercana,Mujer,70,2,2
19,88,Medio,Medio,Sí,8,89,Medio,Sí,3,Medio,Medio,Público,Positiva,3,No,Postgrado,Cercana,Hombre,71,2,4
29,84,Medio,Bajo,Sí,7,68,Bajo,Sí,1,Bajo,Medio,Privado,Neutral,2,No,Instituto,Moderada,Hombre,67,2,2
25,78,Bajo,Alto,Sí,6,50,Medio,Sí,1,Alto,Alto,Público,Negativa,2,No,Instituto,Lejana,Hombre,66,2,1
17,94,Medio,Alto,No,6,80,Alto,Sí,0,Medio,Bajo,Privado,Neutral,1,No,Universidad,Cercana,Hombre,69,2,4
23,98,Medio,Medio,Sí,8,71,Medio,Sí,0,Alto,Alto,Público,Positiva,5,No,Instituto,Moderada,Hombre,72,2,3
17,80,Bajo,Alto,No,8,88,Medio,No,4,Medio,Alto,Privado,Neutral,4,No,Universidad,Moderada,Hombre,68,2,4
17,97,Medio,Alto,Sí,6,87,Bajo,Sí,2,Bajo,Alto,Privado,Neutral,2,No,Instituto,Cercana,Hombre,71,2,4
21,83,Medio,Medio,Sí,8,97,Bajo,Sí,2,Medio,Medio,Público,Positiva,4,No,Instituto,Cercana,Hombre,70,2,5
9,82,Medio,Medio,Sí,8,72,Medio,Sí,2,Medio,Medio,Privado,Positiva,3,No,Postgrado,Cercana,Hombre,66,2,3
10,78,Medio,Alto,Sí,8,74,Medio,Sí,1,Bajo,Medio,Privado,Neutral,4,No,Postgrado,Cercana,Hombre,65,2,3
17,68,Medio,Medio,No,8,70,Medio,Sí,2,Medio,Medio,Privado,Positiva,4,No,Instituto,Cercana,Mujer,64,1,2
14,60,Medio,Bajo,Sí,10,65,Bajo,Sí,0,Alto,Medio,Privado,Positiva,3,No,Universidad,Cercana,Hombre,60,1,2
22,70,Bajo,Medio,Sí,6,82,Medio,Sí,1,Bajo,Alto,Público,Neutral,3,No,Instituto,Cercana,Mujer,65,2,4
15,80,Medio,Medio,Sí,9,91,Bajo,Sí,3,Bajo,Medio,Público,Positiva,2,No,Universidad,Moderada,Mujer,67,2,5
12,75,Medio,Alto,Sí,7,58,Medio,Sí,3,Medio,Medio,Privado,Positiva,4,No,Universidad,Cercana,Hombre,66,2,1
29,78,Medio,Medio,No,5,99,Alto,Sí,0,Alto,Medio,Público,Negativa,1,No,Instituto,Moderada,Mujer,69,2,5
19,99,Medio,Alto,No,6,84,Medio,Sí,1,Medio,Alto,Público,Neutral,3,No,Instituto,Cercana,Hombre,72,2,4
20,74,Medio,Alto,No,8,89,Bajo,Sí,1,Medio,Medio,Público,Negativa,2,No,Universidad,Moderada,Mujer,66,2,4
11,78,Alto,Medio,Sí,8,100,Alto,Sí,1,Bajo,Medio,Público,Neutral,3,No,Instituto,Moderada,Hombre,66,2,5
17,65,Bajo,Alto,Sí,5,75,Medio,Sí,2,Bajo,Medio,Público,Positiva,3,No,Instituto,Cercana,Mujer,63,1,3
21,62,Alto,Bajo,Sí,6,54,Alto,Sí,0,Alto,Alto,Público,Positiva,3,No,Postgrado,Lejana,Hombre,64,1,1
13,91,Bajo,Medio,No,6,90,Medio,Sí,1,Alto,Medio,Público,Negativa,2,Sí,Instituto,Moderada,Mujer,65,2,5
22,83,Alto,Alto,Sí,6,94,Medio,Sí,0,Alto,Medio,Público,Neutral,2,No,Universidad,Moderada,Hombre,71,2,5
16,90,Medio,Medio,No,4,58,Medio,Sí,1,Bajo,Medio,Público,Neutral,3,No,Instituto,Moderada,Mujer,66,2,1
18,66,Alto,Alto,No,4,51,Bajo,Sí,2,Bajo,Medio,Privado,Neutral,2,No,Universidad,Cercana,Hombre,64,1,1
16,83,Bajo,Medio,No,6,57,Medio,Sí,0,Alto,Bajo,Público,Positiva,4,Sí,Instituto,Cercana,Mujer,63,1,1
31,70,Medio,Alto,Sí,7,66,Medio,Sí,1,Alto,Medio,Público,Negativa,3,No,Universidad,Cercana,Hombre,69,2,2
20,69,Medio,Medio,Sí,8,96,Medio,Sí,2,Medio,Alto,Público,Positiva,3,No,Instituto,Cercana,Hombre,67,2,5
14,60,Alto,Medio,No,5,50,Medio,Sí,2,Medio,Medio,Público,Neutral,3,No,Universidad,Cercana,Mujer,61,1,1
25,65,Alto,Medio,No,5,90,Medio,Sí,2,Medio,Medio,Público,Positiva,3,No,Universidad,Moderada,Mujer,68,2,5
13,72,Bajo,Medio,No,6,93,Bajo,Sí,1,Bajo,Medio,Público,Negativa,3,No,Instituto,Cercana,Hombre,61,1,5
21,65,Medio,Bajo,Sí,7,91,Bajo,Sí,2,Medio,Alto,Público,Positiva,3,No,Instituto,Lejana,Mujer,64,1,5
8,99,Medio,Medio,No,9,54,Bajo,Sí,2,Bajo,Medio,Público,Neutral,5,No,Postgrado,Cercana,Mujer,67,2,1
12,72,Bajo,Medio,Sí,8,84,Medio,Sí,1,Bajo,Medio,Público,Positiva,5,No,Instituto,Cercana,Mujer,63,1,4
21,65,Bajo,Medio,Sí,6,98,Bajo,Sí,1,Medio,Alto,Público,Negativa,4,No,Instituto,Cercana,Hombre,64,1,5
24,68,Alto,Medio,No,8,56,Bajo,Sí,3,Alto,Alto,Público,Neutral,1,No,Universidad,Cercana,Hombre,67,2,1
21,84,Medio,Medio,Sí,6,52,Bajo,Sí,1,Medio,Alto,Público,Neutral,2,Sí,Universidad,Lejana,Mujer,65,2,1
19,63,Bajo,Alto,No,7,94,Medio,Sí,1,Medio,Medio,Privado,Positiva,3,No,Instituto,Moderada,Hombre,64,1,5
18,94,Medio,Alto,Sí,7,82,Medio,Sí,3,Medio,Medio,Privado,Negativa,2,Sí,Universidad,Cercana,Hombre,70,2,4
11,98,Medio,Medio,Sí,9,82,Bajo,Sí,1,Medio,Medio,Privado,Positiva,3,No,Postgrado,Lejana,Hombre,68,2,4
16,70,Medio,Medio,Sí,8,98,Medio,Sí,2,Medio,Medio,Público,Positiva,3,No,Instituto,Moderada,Hombre,65,2,5
17,78,Medio,Medio,Sí,6,88,Medio,Sí,1,Medio,Alto,Privado,Positiva,3,No,Universidad,Cercana,Mujer,68,2,4
26,61,Medio,Bajo,Sí,6,70,Medio,Sí,2,Bajo,Medio,Público,Positiva,3,No,Instituto,Moderada,Mujer,64,1,2
22,86,Bajo,Medio,Sí,7,72,Bajo,Sí,3,Bajo,Alto,Público,Positiva,2,No,Instituto,Moderada,Hombre,68,2,3
9,77,Medio,Medio,No,5,57,Medio,Sí,2,Medio,Alto,Público,Neutral,3,No,Instituto,Cercana,Hombre,63,1,1
22,71,Bajo,Medio,Sí,7,65,Bajo,Sí,1,Medio,Bajo,Público,Positiva,4,No,Universidad,Moderada,Hombre,64,1,2
18,68,Alto,Medio,No,7,72,Medio,Sí,0,Medio,Medio,Público,Neutral,3,No,Universidad,Cercana,Hombre,64,1,3
16,86,Bajo,Medio,Sí,8,63,Medio,Sí,2,Medio,Medio,Público,Positiva,4,No,Instituto,Cercana,Hombre,67,2,2
24,77,Alto,Bajo,No,8,96,Medio,Sí,0,Medio,Medio,Público,Neutral,3,No,Instituto,Cercana,Mujer,67,2,5
26,67,Medio,Alto,Sí,7,51,Bajo,Sí,2,Alto,Alto,Privado,Neutral,4,Sí,Postgrado,Lejana,Mujer,66,2,1
26,88,Medio,Alto,Sí,5,79,Medio,Sí,1,Bajo,Alto,Privado,Positiva,4,No,Universidad,Moderada,Hombre,72,2,3
15,83,Medio,Alto,No,5,89,Bajo,No,1,Medio,Alto,Público,Neutral,2,Sí,Instituto,Cercana,Mujer,65,2,4
18,94,Medio,Medio,Sí,6,87,Alto,Sí,1,Medio,Medio,Público,Positiva,4,No,Instituto,Cercana,Hombre,71,2,4
22,65,Alto,Bajo,No,8,82,Medio,Sí,2,Medio,Alto,Público,Positiva,1,No,Postgrado,Cercana,Mujer,66,2,4
26,91,Medio,Bajo,Sí,8,71,Medio,Sí,0,Bajo,Medio,Privado,Neutral,3,No,Instituto,Moderada,Hombre,68,2,3
17,87,Medio,Medio,No,7,96,Medio,Sí,1,Alto,Medio,Público,Negativa,5,No,Postgrado,Cercana,Mujer,70,2,5
19,65,Medio,Medio,Sí,10,66,Bajo,Sí,0,Bajo,Medio,Público,Positiva,3,No,Instituto,Moderada,Hombre,62,1,2
13,88,Bajo,Alto,Sí,9,88,Alto,Sí,2,Bajo,Alto,Privado,Negativa,4,No,Postgrado,Lejana,Hombre,68,2,4
