id,Education_Level,Age_Group,Gender,Race,Offense_Type,Criminal_History_Category,Sentence_Length_months,Probation,Below_Guideline,Trial
1,High School,≤34,M,Other,Drug Trafficking,III,72,0,1,0
2,Some College,35-44,F,Other,Immigration,III,65,0,1,0
3,High School,35-44,F,Other,Immigration,I,71,0,0,0
4,Some College,45-54,F,Hispanic,Fraud,V,38,0,1,0
5,Less than HS,≤34,M,Hispanic,Immigration,V,63,0,1,0
6,Less than HS,35-44,M,Black,Robbery,V,44,1,1,0
7,Less than HS,35-44,M,Black,Robbery,I,42,1,1,0
8,High School,45-54,M,White,Immigration,II,60,0,0,0
9,Undergraduate Degree,≤34,M,Black,Fraud,I,27,0,0,0
10,High School,≤34,M,Hispanic,Drug Trafficking,IV,50,0,1,0
11,Less than HS,≤34,M,Black,Robbery,VI,33,0,0,0
12,Undergraduate Degree,35-44,M,White,Sexual Abuse,V,46,0,1,0
13,High School,45-54,M,Hispanic,Firearms,I,62,0,0,1
14,High School,≤34,M,White,Fraud,I,46,0,1,0
15,High School,55+,M,White,Firearms,III,56,0,1,0
16,High School,45-54,M,White,Drug Trafficking,I,74,0,1,0
17,Less than HS,35-44,M,Black,Fraud,IV,62,0,1,0
18,Some College,55+,M,Hispanic,Fraud,IV,58,0,1,0
19,High School,45-54,M,White,Fraud,I,62,0,0,0
20,High School,35-44,M,Black,Immigration,IV,76,0,1,0
21,Some College,55+,M,Other,Drug Trafficking,IV,62,0,0,0
22,Less than HS,≤34,M,Black,Fraud,I,81,0,1,0
23,Some College,55+,M,Hispanic,Drug Trafficking,I,59,0,1,0
24,Undergraduate Degree,45-54,M,Hispanic,Child Pornography,I,89,0,0,0
25,Less than HS,35-44,M,White,Drug Trafficking,I,54,0,0,0
26,Undergraduate Degree,≤34,M,White,Child Pornography,V,46,0,1,0
27,High School,55+,M,Black,Fraud,IV,54,0,0,0
28,High School,35-44,M,Other,Drug Trafficking,I,70,0,1,0
29,High School,35-44,M,White,Immigration,II,50,1,1,0
30,Undergraduate Degree,45-54,M,Black,Money Laundering,I,51,0,0,0
31,Some College,≤34,F,Black,Firearms,I,73,0,0,0
32,Less than HS,≤34,M,Hispanic,Robbery,I,56,0,0,0
33,High School,45-54,M,Hispanic,Firearms,I,56,0,1,0
34,High School,55+,M,White,Drug Trafficking,VI,92,0,1,0
35,High School,55+,M,Hispanic,Drug Trafficking,I,57,0,1,0
36,Less than HS,≤34,M,Hispanic,Robbery,I,51,0,1,0
37,High School,35-44,M,Black,Firearms,II,97,0,0,0
